2026-09-18 15:25:11 - INFO - {'url': '/api/login', 'request': {'username': 'system', 'password': '&zwnj;***MASKED***&zwnj;'}, 'status': 200, 'response': {'message': '登录成功', 'user': {'username': 'system', 'role': 'admin'}, 'token_type': 'bearer'}, 'duration': 400.93}
2026-09-18 15:59:38 - INFO - {'url': '/api/login', 'request': {'username': 'system', 'password': '&zwnj;***MASKED***&zwnj;'}, 'status': 200, 'response': {'message': '登录成功', 'user': {'username': 'system', 'role': 'admin'}, 'token_type': 'bearer'}, 'duration': 483.71}
2026-09-18 16:03:46 - INFO - {'url': '/api/login', 'request': {'username': 'system', 'password': '&zwnj;***MASKED***&zwnj;'}, 'status': 200, 'response': {'message': '登录成功', 'user': {'username': 'system', 'role': 'admin'}, 'token_type': 'bearer'}, 'duration': 470.74}
2026-09-18 16:04:35 - INFO - {'url': '/api/login', 'request': {'username': 'system', 'password': '&zwnj;***MASKED***&zwnj;'}, 'status': 200, 'response': {'message': '登录成功', 'user': {'username': 'system', 'role': 'admin'}, 'token_type': 'bearer'}, 'duration': 198.47}
2026-09-18 16:10:51 - INFO - {'url': '/api/login', 'request': {'username': 'system', 'password': '&zwnj;***MASKED***&zwnj;'}, 'status': 200, 'response': {'message': '登录成功', 'user': {'username': 'system', 'role': 'admin'}, 'token_type': 'bearer'}, 'duration': 458.77}
2026-09-18 16:16:30 - INFO - {'url': '/api/login', 'request': {'username': 'system', 'password': '&zwnj;***MASKED***&zwnj;'}, 'status': 200, 'response': {'message': '登录成功', 'user': {'username': 'system', 'role': 'admin'}, 'token_type': 'bearer'}, 'duration': 528.59}
2026-09-18 16:27:15 - INFO - {'url': '/api/login', 'request': {'username': 'system', 'password': '&zwnj;***MASKED***&zwnj;'}, 'status': 200, 'response': {'message': '登录成功', 'user': {'username': 'system', 'role': 'admin'}, 'token_type': 'bearer'}, 'duration': 434.84}
2026-09-18 16:38:38 - INFO - {'url': '/api/login', 'request': {'username': 'system', 'password': '&zwnj;***MASKED***&zwnj;'}, 'status': 200, 'response': {'message': '登录成功', 'user': {'username': 'system', 'role': 'admin'}, 'token_type': 'bearer'}, 'duration': 315.15}
2026-09-18 16:45:06 - INFO - {'url': '/api/login', 'request': {'username': 'system', 'password': '&zwnj;***MASKED***&zwnj;'}, 'status': 200, 'response': {'message': '登录成功', 'user': {'username': 'system', 'role': 'admin'}, 'token_type': 'bearer'}, 'duration': 570.47}
2026-09-18 16:48:33 - INFO - {'url': '/api/login', 'request': {'username': 'system', 'password': '&zwnj;***MASKED***&zwnj;'}, 'status': 200, 'response': {'message': '登录成功', 'user': {'username': 'system', 'role': 'admin'}, 'token_type': 'bearer'}, 'duration': 246.34}
2026-09-18 20:23:12 - INFO - {'url': '/api/login', 'request': {'username': 'system', 'password': '&zwnj;***MASKED***&zwnj;'}, 'status': 200, 'response': {'message': '登录成功', 'user': {'username': 'system', 'role': 'admin'}, 'token_type': 'bearer'}, 'duration': 800.86}
2026-09-18 20:33:11 - INFO - {'url': '/api/login', 'request': {'username': 'system', 'password': '&zwnj;***MASKED***&zwnj;'}, 'status': 200, 'response': {'message': '登录成功', 'user': {'username': 'system', 'role': 'admin'}, 'token_type': 'bearer'}, 'duration': 848.73}
2026-09-18 20:34:00 - INFO - {'url': '/api/login', 'request': {'username': 'system', 'password': '&zwnj;***MASKED***&zwnj;'}, 'status': 200, 'response': {'message': '登录成功', 'user': {'username': 'system', 'role': 'admin'}, 'token_type': 'bearer'}, 'duration': 862.69}
2026-09-18 20:40:53 - INFO - {'url': '/api/login', 'request': {'username': 'system', 'password': '&zwnj;***MASKED***&zwnj;'}, 'status': 200, 'response': {'message': '登录成功', 'user': {'username': 'system', 'role': 'admin'}, 'token_type': 'bearer'}, 'duration': 865.69}
2026-09-18 20:42:06 - INFO - {'url': '/api/login', 'request': {'username': 'system', 'password': '&zwnj;***MASKED***&zwnj;'}, 'status': 200, 'response': {'message': '登录成功', 'user': {'username': 'system', 'role': 'admin'}, 'token_type': 'bearer'}, 'duration': 866.68}
2026-09-18 20:46:11 - INFO - {'url': '/api/login', 'request': {'username': 'system', 'password': '&zwnj;***MASKED***&zwnj;'}, 'status': 200, 'response': {'message': '登录成功', 'user': {'username': 'system', 'role': 'admin'}, 'token_type': 'bearer'}, 'duration': 778.92}
2026-09-18 21:04:01 - INFO - {'url': '/api/login', 'request': {'username': 'system', 'password': '&zwnj;***MASKED***&zwnj;'}, 'status': 200, 'response': {'message': '登录成功', 'user': {'username': 'system', 'role': 'admin'}, 'token_type': 'bearer'}, 'duration': 645.28}
2026-09-18 21:05:44 - INFO - {'url': '/api/login', 'request': {'username': 'system', 'password': '&zwnj;***MASKED***&zwnj;'}, 'status': 200, 'response': {'message': '登录成功', 'user': {'username': 'system', 'role': 'admin'}, 'token_type': 'bearer'}, 'duration': 873.66}
2026-09-18 21:08:22 - INFO - {'url': '/api/login', 'request': {'username': 'system', 'password': '&zwnj;***MASKED***&zwnj;'}, 'status': 200, 'response': {'message': '登录成功', 'user': {'username': 'system', 'role': 'admin'}, 'token_type': 'bearer'}, 'duration': 803.86}
2026-09-18 21:09:39 - INFO - {'url': '/api/login', 'request': {'username': 'system', 'password': '&zwnj;***MASKED***&zwnj;'}, 'status': 200, 'response': {'message': '登录成功', 'user': {'username': 'system', 'role': 'admin'}, 'token_type': 'bearer'}, 'duration': 851.73}
2026-09-18 21:13:42 - INFO - {'url': '/api/login', 'request': {'username': 'system', 'password': '&zwnj;***MASKED***&zwnj;'}, 'status': 200, 'response': {'message': '登录成功', 'user': {'username': 'system', 'role': 'admin'}, 'token_type': 'bearer'}, 'duration': 39.0}
2026-09-18 22:04:40 - INFO - {'url': '/api/login', 'request': {'username': 'system', 'password': '&zwnj;***MASKED***&zwnj;'}, 'status': 200, 'response': {'message': '登录成功', 'user': {'username': 'system', 'role': 'admin'}, 'token_type': 'bearer'}, 'duration': 40.51}
2026-09-18 22:09:13 - INFO - {'url': '/api/login', 'request': {'username': 'system', 'password': '&zwnj;***MASKED***&zwnj;'}, 'status': 200, 'response': {'message': '登录成功', 'user': {'username': 'system', 'role': 'admin'}, 'token_type': 'bearer'}, 'duration': 26.51}
2026-09-18 22:19:58 - INFO - {'url': '/api/login', 'request': {'username': 'system', 'password': '&zwnj;***MASKED***&zwnj;'}, 'status': 200, 'response': {'message': '登录成功', 'user': {'username': 'system', 'role': 'admin'}, 'token_type': 'bearer'}, 'duration': 43.0}
2026-09-18 22:21:08 - INFO - {'url': '/api/login', 'request': {'username': 'system', 'password': '&zwnj;***MASKED***&zwnj;'}, 'status': 200, 'response': {'message': '登录成功', 'user': {'username': 'system', 'role': 'admin'}, 'token_type': 'bearer'}, 'duration': 43.51}
2026-09-18 22:27:39 - INFO - {'url': '/api/login', 'request': {'username': 'system', 'password': '&zwnj;***MASKED***&zwnj;'}, 'status': 200, 'response': {'message': '登录成功', 'user': {'username': 'system', 'role': 'admin'}, 'token_type': 'bearer'}, 'duration': 41.51}
2026-09-18 22:29:47 - INFO - {'url': '/api/login', 'request': {'username': 'system', 'password': '&zwnj;***MASKED***&zwnj;'}, 'status': 200, 'response': {'message': '登录成功', 'user': {'username': 'system', 'role': 'admin'}, 'token_type': 'bearer'}, 'duration': 29.0}
2026-09-18 23:09:08 - INFO - {'url': '/api/login', 'request': {'username': 'system', 'password': '&zwnj;***MASKED***&zwnj;'}, 'status': 200, 'response': {'message': '登录成功', 'user': {'username': 'system', 'role': 'admin'}, 'token_type': 'bearer'}, 'duration': 46.87}
2026-09-18 23:26:30 - INFO - {'url': '/api/login', 'request': {'username': 'system', 'password': '&zwnj;***MASKED***&zwnj;'}, 'status': 200, 'response': {'message': '登录成功', 'user': {'username': 'system', 'role': 'admin'}, 'token_type': 'bearer'}, 'duration': 30.0}
2026-09-18 23:28:04 - INFO - {'url': '/api/login', 'request': {'username': 'system', 'password': '&zwnj;***MASKED***&zwnj;'}, 'status': 200, 'response': {'message': '登录成功', 'user': {'username': 'system', 'role': 'admin'}, 'token_type': 'bearer'}, 'duration': 29.13}
2026-09-18 23:31:21 - INFO - {'url': '/api/login', 'request': {'username': 'system', 'password': '&zwnj;***MASKED***&zwnj;'}, 'status': 200, 'response': {'message': '登录成功', 'user': {'username': 'system', 'role': 'admin'}, 'token_type': 'bearer'}, 'duration': 29.51}
2026-09-18 23:37:50 - INFO - {'url': '/api/login', 'request': {'username': 'system', 'password': '&zwnj;***MASKED***&zwnj;'}, 'status': 200, 'response': {'message': '登录成功', 'user': {'username': 'system', 'role': 'admin'}, 'token_type': 'bearer'}, 'duration': 29.0}
2026-09-18 23:40:11 - INFO - {'url': '/api/login', 'request': {'username': 'system', 'password': '&zwnj;***MASKED***&zwnj;'}, 'status': 200, 'response': {'message': '登录成功', 'user': {'username': 'system', 'role': 'admin'}, 'token_type': 'bearer'}, 'duration': 42.18}
2026-09-18 23:47:49 - INFO - {'url': '/api/login', 'request': {'username': 'system', 'password': '&zwnj;***MASKED***&zwnj;'}, 'status': 200, 'response': {'message': '登录成功', 'user': {'username': 'system', 'role': 'admin'}, 'token_type': 'bearer'}, 'duration': 28.0}
2026-09-18 23:49:59 - INFO - {'url': '/api/login', 'request': {'username': 'system', 'password': '&zwnj;***MASKED***&zwnj;'}, 'status': 200, 'response': {'message': '登录成功', 'user': {'username': 'system', 'role': 'admin'}, 'token_type': 'bearer'}, 'duration': 28.0}
2026-09-18 23:55:38 - INFO - {'url': '/api/login', 'request': {'username': 'system', 'password': '&zwnj;***MASKED***&zwnj;'}, 'status': 200, 'response': {'message': '登录成功', 'user': {'username': 'system', 'role': 'admin'}, 'token_type': 'bearer'}, 'duration': 28.0}
2026-09-19 19:59:02 - INFO - {'url': '/api/login', 'request': {'username': 'system', 'password': '&zwnj;***MASKED***&zwnj;'}, 'status': 200, 'response': {'message': '登录成功', 'user': {'username': 'system', 'role': 'admin'}, 'token_type': 'bearer'}, 'duration': 41.15}
2026-09-19 20:08:17 - INFO - {'url': '/api/login', 'request': {'username': 'system', 'password': '&zwnj;***MASKED***&zwnj;'}, 'status': 200, 'response': {'message': '登录成功', 'user': {'username': 'system', 'role': 'admin'}, 'token_type': 'bearer'}, 'duration': 30.9}
2026-09-19 20:09:37 - INFO - {'url': '/api/login', 'request': {'username': 'system', 'password': '&zwnj;***MASKED***&zwnj;'}, 'status': 200, 'response': {'message': '登录成功', 'user': {'username': 'system', 'role': 'admin'}, 'token_type': 'bearer'}, 'duration': 40.86}
2026-09-19 20:11:10 - INFO - {'url': '/api/login', 'request': {'username': 'system', 'password': '&zwnj;***MASKED***&zwnj;'}, 'status': 200, 'response': {'message': '登录成功', 'user': {'username': 'system', 'role': 'admin'}, 'token_type': 'bearer'}, 'duration': 28.9}
2026-09-19 21:03:16 - INFO - {'url': '/api/login', 'request': {'username': 'system', 'password': '&zwnj;***MASKED***&zwnj;'}, 'status': 200, 'response': {'message': '登录成功', 'user': {'username': 'system', 'role': 'admin'}, 'token_type': 'bearer'}, 'duration': 42.86}
2026-09-19 21:05:38 - INFO - {'url': '/api/login', 'request': {'username': 'system', 'password': '&zwnj;***MASKED***&zwnj;'}, 'status': 200, 'response': {'message': '登录成功', 'user': {'username': 'system', 'role': 'admin'}, 'token_type': 'bearer'}, 'duration': 30.9}
2026-09-19 21:07:56 - INFO - {'url': '/api/login', 'request': {'username': 'system', 'password': '&zwnj;***MASKED***&zwnj;'}, 'status': 200, 'response': {'message': '登录成功', 'user': {'username': 'system', 'role': 'admin'}, 'token_type': 'bearer'}, 'duration': 43.37}
2026-09-19 21:08:25 - INFO - {'url': '/api/login', 'request': {'username': 'system', 'password': '&zwnj;***MASKED***&zwnj;'}, 'status': 200, 'response': {'message': '登录成功', 'user': {'username': 'system', 'role': 'admin'}, 'token_type': 'bearer'}, 'duration': 45.16}
2026-09-19 21:15:10 - INFO - {'url': '/api/login', 'request': {'username': 'system', 'password': '&zwnj;***MASKED***&zwnj;'}, 'status': 200, 'response': {'message': '登录成功', 'user': {'username': 'system', 'role': 'admin'}, 'token_type': 'bearer'}, 'duration': 42.86}
2026-09-19 21:22:31 - INFO - {'url': '/api/login', 'request': {'username': 'system', 'password': '&zwnj;***MASKED***&zwnj;'}, 'status': 200, 'response': {'message': '登录成功', 'user': {'username': 'system', 'role': 'admin'}, 'token_type': 'bearer'}, 'duration': 43.85}
2026-09-19 21:25:26 - INFO - {'url': '/users/me/', 'request': {'detail_request_body': ''}, 'status': 200, 'response': {'username': 'system', 'role': 'admin', 'email': 'dennischen@example.com', 'full_name': 'DENNIS CHEN', 'disabled': False}, 'duration': 0.96}
2026-09-19 21:25:35 - INFO - {'url': '/api/protected-data', 'request': {'detail_request_body': ''}, 'status': 200, 'response': {'message': '这是受保护的数据', 'user': {'username': 'system', 'role': 'user', 'expire_datetime': '2026-09-19T13:27:31+00:00'}, 'data': ['敏感数据1', '敏感数据2', '敏感数据3']}, 'duration': 1.0}
2026-09-19 22:00:14 - INFO - {'url': '/api/login', 'request': {'username': 'system', 'password': '&zwnj;***MASKED***&zwnj;'}, 'status': 200, 'response': {'message': '登录成功', 'user': {'username': 'system', 'role': 'admin'}, 'token_type': 'bearer'}, 'duration': 26.91}
2026-09-19 22:00:40 - INFO - {'url': '/api/login', 'request': {'username': 'system', 'password': '&zwnj;***MASKED***&zwnj;'}, 'status': 200, 'response': {'message': '登录成功', 'user': {'username': 'system', 'role': 'admin'}, 'token_type': 'bearer'}, 'duration': 41.37}
2026-09-19 22:01:08 - INFO - {'url': '/api/login', 'request': {'username': 'system', 'password': '&zwnj;***MASKED***&zwnj;'}, 'status': 200, 'response': {'message': '登录成功', 'user': {'username': 'system', 'role': 'admin'}, 'token_type': 'bearer'}, 'duration': 42.86}
2026-09-19 22:22:58 - INFO - {'url': '/api/login', 'request': {'username': 'system', 'password': '&zwnj;***MASKED***&zwnj;'}, 'status': 200, 'response': {'message': '登录成功', 'user': {'username': 'system', 'role': 'admin'}, 'token_type': 'bearer'}, 'duration': 42.86}
2026-09-19 22:24:15 - INFO - {'url': '/api/login', 'request': {'username': 'system', 'password': '&zwnj;***MASKED***&zwnj;'}, 'status': 200, 'response': {'message': '登录成功', 'user': {'username': 'system', 'role': 'admin'}, 'token_type': 'bearer'}, 'duration': 27.91}
2026-09-19 22:25:59 - INFO - {'url': '/api/login', 'request': {'username': 'system', 'password': '&zwnj;***MASKED***&zwnj;'}, 'status': 200, 'response': {'message': '登录成功', 'user': {'username': 'system', 'role': 'admin'}, 'token_type': 'bearer'}, 'duration': 26.42}
2026-09-19 22:31:17 - INFO - {'url': '/api/login', 'request': {'username': 'system', 'password': '&zwnj;***MASKED***&zwnj;'}, 'status': 200, 'response': {'message': '登录成功', 'user': {'username': 'system', 'role': 'admin'}, 'token_type': 'bearer'}, 'duration': 45.85}
2026-09-19 22:32:34 - INFO - {'url': '/api/login', 'request': {'username': 'system', 'password': '&zwnj;***MASKED***&zwnj;'}, 'status': 200, 'response': {'message': '登录成功', 'user': {'username': 'system', 'role': 'admin'}, 'token_type': 'bearer'}, 'duration': 27.91}
2026-09-19 22:42:04 - INFO - {'url': '/api/login', 'request': {'username': 'system', 'password': '&zwnj;***MASKED***&zwnj;'}, 'status': 200, 'response': {'message': '登录成功', 'user': {'username': 'system', 'role': 'admin'}, 'token_type': 'bearer'}, 'duration': 43.81}
2026-09-19 22:45:29 - INFO - {'url': '/api/login', 'request': {'username': 'system', 'password': '&zwnj;***MASKED***&zwnj;'}, 'status': 200, 'response': {'message': '登录成功', 'user': {'username': 'system', 'role': 'admin'}, 'token_type': 'bearer'}, 'duration': 42.86}
2026-09-19 22:51:17 - INFO - {'url': '/api/login', 'request': {'username': 'system', 'password': '&zwnj;***MASKED***&zwnj;'}, 'status': 200, 'response': {'message': '登录成功', 'user': {'username': 'system', 'role': 'admin'}, 'token_type': 'bearer'}, 'duration': 27.91}
2026-09-19 22:54:47 - INFO - {'url': '/api/login', 'request': {'username': 'system', 'password': '&zwnj;***MASKED***&zwnj;'}, 'status': 200, 'response': {'message': '登录成功', 'user': {'username': 'system', 'role': 'admin'}, 'token_type': 'bearer'}, 'duration': 47.29}
2026-09-19 22:58:21 - INFO - {'url': '/api/login', 'request': {'username': 'system', 'password': '&zwnj;***MASKED***&zwnj;'}, 'status': 200, 'response': {'message': '登录成功', 'user': {'username': 'system', 'role': 'admin'}, 'token_type': 'bearer'}, 'duration': 39.38}
